text,rating,app_id,labels,source,original_label,subtype
App keeps crashing on my Samsung Galaxy Note 20. Worked fine on my old phone.,2,com.airbnb.android,compatibility,synthetic_compat_v2,,device
"Installed on Samsung Galaxy Note 20, app shows 'device not compatible' even though specs are fine.",2,com.netflix.mediaclient,compatibility,synthetic_compat_v2,,device
still doesn't work on my samsung s5 after recent update .,2,com.cleanmaster.security,compatibility,rrgen_mined_compat,bug_report,
OnePlus 10 Pro user here — app force closes immediately on launch.,3,com.airbnb.android,compatibility,synthetic_compat_v2,,device
i have a samsung galaxy s5 and it be say that my device be not compatible with <app> lock .,3,com.cleanmaster.security,compatibility,rrgen_mined_compat,bug_report,
App keeps crashing on my Pixel 4a. Worked fine on my old phone.,1,com.airbnb.android,compatibility,synthetic_compat_v2,,device
"App freezes on Realme 9. Other apps work fine, just this one.",1,com.airbnb.android,compatibility,synthetic_compat_v2,,device
"Since Android 8.0 Oreo update, app won't even open.",2,com.airbnb.android,compatibility,synthetic_compat_v2,,os
Not optimized for small screen device. Looks terrible and elements overlap.,2,com.snapchat.android,compatibility,synthetic_compat_v2,,screen
"After updating to OneUI 5, half the features stopped working.",1,com.airbnb.android,compatibility,synthetic_compat_v2,,os
Huawei Mate 40 user here — app force closes immediately on launch.,1,com.facebook.katana,compatibility,synthetic_compat_v2,,device
Doesn't work properly on Samsung Galaxy S22. Force closes every time I open it.,1,com.whatsapp,compatibility,synthetic_compat_v2,,device
Login broken since OxygenOS 13. Stuck on loading screen forever.,3,com.airbnb.android,compatibility,synthetic_compat_v2,,os
i cant download anything on mi redmi note <digit> after the upgrade befor the update everything be fine but now its nit work .,1,com.UCMobile.intl,compatibility,rrgen_mined_compat,bug_report,
Not compatible with Android 14. Keeps erroring out.,1,com.twitter.android,compatibility,synthetic_compat_v2,,os
"Installed on Sony Xperia 1, app shows 'device not compatible' even though specs are fine.",1,com.facebook.katana,compatibility,synthetic_compat_v2,,device
Used to love this app but ColorOS 12 update killed it for me.,1,com.instagram.android,compatibility,synthetic_compat_v2,,os
Doesn't work properly on LG V60. Force closes every time I open it.,1,com.ubercab,compatibility,synthetic_compat_v2,,device
<app> crash and restart several time per day <digit> time and seem to be run slower and slower . i'm on samsung galaxy s5 . have try uninstalling and reinstall everything be up to date . work well up until about a month ago .,3,com.qihoo.security,compatibility,rrgen_mined_compat,bug_report,
i have problem with the <app> on my samsung s7 and my oneplus 3t since they be update to <app> <digit> . please try to resolve the problem with the new update .,2,com.qihoo.security,compatibility,rrgen_mined_compat,bug_report,
"landscape mode layout issues — text gets cut off, can't tap buttons.",2,com.ubercab,compatibility,synthetic_compat_v2,,screen
My LG V60 can't run this app at all. Crashes within 2 seconds.,2,com.instagram.android,compatibility,synthetic_compat_v2,,device
Doesn't work properly on Pixel 4a. Force closes every time I open it.,2,com.amazon.mShop.android.shopping,compatibility,synthetic_compat_v2,,device
Not compatible with Android 9. Keeps erroring out.,1,com.zhiliaoapp.musically,compatibility,synthetic_compat_v2,,os
"Since Android 7 Nougat update, app won't even open.",2,com.instagram.android,compatibility,synthetic_compat_v2,,os
since the update battery saver hibernation or deep clean junk file no longer work . <user> samsung galaxy s6 edge s7 .,1,com.cleanmaster.mguard,compatibility,rrgen_mined_compat,bug_report,
