idx,text,app_id,llm_label,llm_confidence,final_label,anchor_confidence,label_quality_score,source
42,bekar ka app .,com.picsart.studio,praise,0.6795,other,0.7365044355392456,0.10306169092655182,anchor_corrected
43,<user>,com.surpax.ledflashlight.panel,praise,0.9396,other,0.8282132744789124,0.04823003709316254,anchor_corrected
49,bad .,com.picsart.studio,praise,0.9653,other,0.8639281392097473,0.03135060518980026,anchor_corrected
52,totnak .,com.roidapp.photogrid,praise,0.9211,other,0.496304988861084,0.2125668078660965,human_verified
96,it's battery eater .,com.mapfactor.navigator,other,0.454,performance,0.9986094832420349,0.000366167543688789,anchor_corrected
100,u should just try this . its very damn cool .,com.venticake.retrica,other,0.3098,praise,0.7084733247756958,0.08191234618425369,anchor_corrected
113,not bad .,com.surpax.ledflashlight.panel,praise,0.9617,other,0.7272396087646484,0.05396798625588417,anchor_corrected
134,its very slow load . plz make it fast .,com.picsart.studio,feature_request,0.825,performance,0.9086725115776062,0.016241297125816345,anchor_corrected
163,hate it .,com.ubercab,praise,0.9618,other,0.8171905279159546,0.04128853976726532,anchor_corrected
170,i hate this app . useless .,flipboard.app,bug_report,0.1828,other,0.7899329662322998,0.04025387018918991,anchor_corrected
187,no charge boost . battery fast drain .,com.qihoo.security,feature_request,0.4307,performance,0.9703806638717651,0.0031204363331198692,anchor_corrected
196,worst thing .,com.ubercab,praise,0.9568,other,0.8050363659858704,0.049757279455661774,anchor_corrected
197,bad app .,com.UCMobile.intl,praise,0.9654,other,0.8583977222442627,0.04929642751812935,anchor_corrected
236,slow .,com.picsart.studio,praise,0.8017,performance,0.9972184300422668,0.00033841212280094624,anchor_corrected
288,ads .,com.apusapps.launcher,praise,0.9343,usability,0.7953342795372009,0.0626658946275711,anchor_corrected
289,super .,com.cleanmaster.mguard,other,0.5157,praise,0.7495033144950867,0.08791392296552658,anchor_corrected
291,worst .,com.ubercab,praise,0.9553,other,0.8522345423698425,0.02915213070809841,anchor_corrected
329,move slow n make high charge .,com.ubercab,feature_request,0.5096,performance,0.9096706509590149,0.015399419702589512,anchor_corrected
396,garbage .,com.qihoo.security,praise,0.8999,other,0.7159380912780762,0.10384562611579895,anchor_corrected
413,app install do <app> slow service .,com.picsart.studio,bug_report,0.8653,performance,0.877429187297821,0.02339915744960308,anchor_corrected
421,i love <app> it be the best app since doddle jump .,com.roidapp.photogrid,other,0.7443,praise,0.8994430899620056,0.02581704966723919,anchor_corrected
548,great app be use it for a while now and i love it .,com.roidapp.photogrid,other,0.5554,praise,0.7824810147285461,0.012813680805265903,anchor_corrected
567,drain battery and become a bloatware <app>,com.apusapps.launcher,bug_report,0.3853,performance,0.9311841726303101,0.008007309399545193,anchor_corrected
584,world bad think .,com.apusapps.launcher,praise,0.954,other,0.8401694297790527,0.06744479387998581,anchor_corrected
608,it be <user> good app so download it .,com.cleanmaster.mguard,other,0.7631,praise,0.7090951800346375,0.16335153579711914,anchor_corrected
624,its very good nd hv good edit quality .,com.roidapp.photogrid,other,0.886,praise,0.8644862771034241,0.03756384924054146,anchor_corrected
625,best <app> lock .,com.cleanmaster.security,feature_request,0.4035,praise,0.8681584000587463,0.008052266202867031,anchor_corrected
655,bad <app>,com.apusapps.launcher,praise,0.9634,other,0.8583977222442627,0.04929642751812935,anchor_corrected
664,all be good .,com.qihoo.security,other,0.644,praise,0.7554795742034912,0.11382415145635605,anchor_corrected
706,best edit app its a small photoshop .,com.picsart.studio,other,0.8877,praise,0.761310875415802,0.13570073246955872,anchor_corrected
731,to slow .,com.bbm,other,0.4391,performance,0.9661669731140137,0.0019135302864015102,anchor_corrected
792,it be good for photo edit .,com.roidapp.photogrid,feature_request,0.9065,praise,0.7286297082901001,0.02584500052034855,anchor_corrected
807,nice <app> keep it up .,com.cleanmaster.security,other,0.756,praise,0.8713985085487366,0.04968787357211113,anchor_corrected
841,i like this app .,com.roidapp.photogrid,other,0.7521,praise,0.8465847373008728,0.05719849094748497,anchor_corrected
881,worst app ever .,com.cleanmaster.mguard,praise,0.961,other,0.8325701951980591,0.09336672723293304,anchor_corrected
923,this <app> drain battery faster,vStudio.Android.Camera360,feature_request,0.2287,performance,0.9193392992019653,0.004232856445014477,anchor_corrected
927,so ad .,com.cleanmaster.mguard,praise,0.9205,other,0.4005885720252991,0.25036707520484924,human_verified
958,very worst app .,com.venticake.retrica,praise,0.9022,other,0.7491775751113892,0.08947276324033737,anchor_corrected
999,imran shekh .,com.picsart.studio,praise,0.9139,other,0.5874684453010559,0.17528849840164185,human_verified
1031,invasive garbage .,flipboard.app,praise,0.1045,other,0.7401244044303894,0.0950491726398468,human_verified
1044,ceo president .,com.cleanmaster.mguard,praise,0.9202,other,0.6222968697547913,0.1576717346906662,human_verified
1050,super edit app .,com.picsart.studio,bug_report,0.3098,praise,0.7259494066238403,0.04067695885896683,anchor_corrected
1069,no bad .,com.picsart.studio,praise,0.9671,other,0.7798923850059509,0.04885713756084442,anchor_corrected
1072,only hang my phne .,com.picsart.studio,bug_report,0.6117,performance,0.8902960419654846,0.022791484370827675,anchor_corrected
1076,nice <app> still improve this <app>,com.cleanmaster.security,feature_request,0.3315,praise,0.7531772255897522,0.03182332590222359,anchor_corrected
1086,easy to use .,com.xvideostudio.videoeditor,other,0.9091,usability,0.8284536004066467,0.02781662344932556,anchor_corrected
1090,he be a good <app> very nice <app> must download the <app> your phone absolutely .,com.qihoo.security,other,0.8515,praise,0.7047550678253174,0.06547383219003677,anchor_corrected
1094,its good i'm start to use it .,com.roidapp.photogrid,other,0.8604,praise,0.7753924131393433,0.048588331788778305,anchor_corrected
1101,i simply love it .,com.roidapp.photogrid,other,0.9554,praise,0.8569073677062988,0.05277536064386368,anchor_corrected
1118,suck .,flipboard.app,praise,0.9527,other,0.7034217119216919,0.04985673725605011,anchor_corrected
1126,it be nice photo edit .,com.picsart.studio,feature_request,0.9163,praise,0.7181225419044495,0.05209576338529587,anchor_corrected
1198,nice <app> for security .,com.qihoo.security,other,0.4184,praise,0.7463225722312927,0.06013060361146927,anchor_corrected
1206,it be very useful .,com.cleanmaster.security,other,0.7704,praise,0.8450797200202942,0.05555142089724541,anchor_corrected
1302,use <digit> of my battery in background !,flipboard.app,usability,0.436,performance,0.9668350219726562,0.013474886305630207,anchor_corrected
1325,it be nice editor .,com.picsart.studio,feature_request,0.5238,praise,0.7895012497901917,0.0469742976129055,anchor_corrected
1373,i love this app .,com.roidapp.photogrid,other,0.8391,praise,0.8762979507446289,0.016365109011530876,anchor_corrected
1387,very bad <app>,com.cleanmaster.security,praise,0.9553,other,0.7090156078338623,0.08200737088918686,anchor_corrected
1389,i think this be better edit your pic . for me it's awesome .,com.roidapp.photogrid,feature_request,0.8875,praise,0.7006648778915405,0.038550470024347305,anchor_corrected
1410,pl <user>,com.cleanmaster.security,praise,0.7668,other,0.8282132744789124,0.04823003709316254,anchor_corrected
1435,drain battery .,com.dianxinos.dxbs,other,0.689,performance,0.9942810535430908,0.0023532682098448277,anchor_corrected
1465,most .,com.surpax.ledflashlight.panel,praise,0.9185,other,0.5225076675415039,0.20153358578681946,human_verified
1467,i'm use this app . good feature best edit more feature .,com.picsart.studio,feature_request,0.8367,praise,0.7556908130645752,0.02390402927994728,anchor_corrected
1545,sucker bo bum bahu .,com.roidapp.photogrid,praise,0.9687,other,0.496304988861084,0.2125668078660965,human_verified
1562,destroy phone .,com.cleanmaster.mguard,bug_report,0.4964,performance,0.7192363739013672,0.009969324804842472,anchor_corrected
1592,i love this app it be <user> good app for me .,com.roidapp.photogrid,other,0.4652,praise,0.838442862033844,0.027540378272533417,anchor_corrected
1620,it's not that bad i think .,com.roidapp.photogrid,praise,0.6532,other,0.8319159746170044,0.03003445267677307,anchor_corrected
1663,so slow hu .,com.cleanmaster.mguard,praise,0.4229,performance,0.9286077618598938,0.017844611778855324,anchor_corrected
1679,hussain .,com.qihoo.security,praise,0.9178,other,0.496304988861084,0.2125668078660965,human_verified
1681,by use this my phne be heat . and hang .,com.qihoo.security,other,0.5962,performance,0.8543869256973267,0.015436607412993908,anchor_corrected
