cluster_id,auto_name,review_1,review_2,review_3,review_4,review_5,operation_KEEP_RENAME_MERGE_SPLIT,new_name_if_RENAME,merge_target_cluster_id_if_MERGE,split_note_if_SPLIT
c_00132,performance: tablet / speed / lag,slow my phone down way too much and make it almost impossible to unlock it while it's charge .,make my phone slow . but y i don't know .,malware get in my tablet freeze my screen .,it interfere with internet browse it cut off on very frustrate ! but i have to have something .,almost get brisk on my new phone .,,,,
c_00168,usability: ringtone / wallpaper / theme,the wallpaper be great but this <app> will mess with your phone on way you don't want it too it will start control your phone it's like a 3rd party watch what you have on your phone as soon as i uninstalled it my phone go back to normal .,i really like this <app> be small but with lot of feature . very customizable . <app> you could do search for theme and wallpaper though .,i like the some of the old theme and feature it use to have . such as organize the apps in the app drawer by alphabetical order or most use . those thing rally make the app for me but other then that be great .,quite useful easy to install update beautiful wallpaper theme . like this <app> would recommend it to all !,not fair it change all my wallpaper dont waste your time download this <app>,,,,
c_00046,bug_report: crash,like the idea but the constant crash be too annoy to bother with it .,crash too much .,get crash,it keep crash every time i try to open it .,crash after try it once . cannot open it since .,,,,
c_00184,usability: too many ads / digit> star / screen,i think <digit> <app> have recently start an <app> agency too . so many ads lately !,i think the <app> do everything it's suppose to but i have no way of really tell other than trust it . it seem to work well . it have way too many ads though . i don't mind the print ads but the commercial be ridiculous . i'm try to open an <app> in a hurry and have to wait <digit> second for a comm,only <digit> tab real annoy . guy loose functionality be not gonna work even <digit> year old symbian version be better ! . now these stupid news feed ! no way to turn them off . come on guy !,your ad be very annoy ! i've rat <digit> star but alter it to <digit> star be better since your ad always and cannot be disable show up once when i open it . i dont care about angry bird and uc browser and now i hate it ! consider to uninstall if it keep like this . update i'm impress owe to your fa,stupid ads every time ! time to uninstall this crappy adware . annoy to the core with these <app> up . <digit> i would rate .,,,,
c_00177,usability: too many ads / many ads,too many ads .,too many ads,very annoy . the ads omg .,so many ads . i really hate .,easy to use no ads i love it .,,,,
c_00127,performance: virus / battery / anti virus,hat . antivirus be useless . only adware .,this <app> give <app> a virus so now my tablet be break down,no i need <user> antivirus that dose its job and not give <app> add and make my charge slow my little cousin when on my phone and saw <user> scary <app> he have nightmare thank to you ! i almost forget you guy lock <app> out of all my <app> thats why i get rid of this .,if you want an antivirus app . look elsewhere . this <app> be pack with constant <app> up and bog down your device . unless you like unresponsive device .,not only do this <app> not delete the virus i download it for it give <app> so much bloatware that it make my phone process slower than molasses in january .,,,,
c_00011,bug_report: sticker / frame / purchase,photo edit fix clip art sticker background frame . a lot to choose from and they always add more . my one drawback be that sometimes it will take a while to load .,have this app for a while enjoy use it ! but for some reason you have remove the clip art option on edit ? all of my save cut out be now not accessible ? any reason why ?,i do not like it cause it do not give me more background .,it be my all life good app and i be always only use it . but i have a simple problem which be that the stricter be not load fast for 2g so i use 3g but trust me it load the sticker to take much time than other . so please solve my this problem only .,there be no preview of clipart and sticker and many other thing . recently this problm come out of nowhere . only load sign be show but no preview be come . plss fix it . otherwise best edit app guyzz .,,,,
c_00016,bug_report: magic effect / magic / magic option,why magic effect miss . and always hang if want to use the effect . always say server busy . please upgrade .,follow the instruction but i cannot find the magic effect button .,kenapa bila nk guna magic dia jd download fail ?,magic tool doesn't work at all . sometimes it's take too much time to one magic effect . how many time do i reply to <app> support team ? it's ask again the same question . hereafter i won't be able reply to you . it's ask your ticket be ready if you didn't reply b4 <digit> hour we'll assume that yo,magic effect r not come in my phone .,,,,
c_00109,feature_request: virus / antivirus / feature,i would like to suggest or give you guy feedback why not have all the anti virus product club under <app> <app> like <app> such as heart bleed stubborn trojan etc . if all those product be club it's a <digit> star product !,not at all trustworthy antivirus system . developer must work towards its betterment .,introduce background antivirus scan .,pretty good please improve in virus clean,this be the best <app> antivirus but why there be no window or mac version available ? this would beat all other pc <app> product for sure . reply .,,,,
c_00073,feature_request: edit / feature / ui,the feature i want wasn't there which be magic edit .,ante me gustaba que de inicio era la memoria y no la visualizaci n de el estado de memoria y mas . podrian hacer ese cambio . y agregar la opci n de desactivar o activar casi toda las funciones como clean y seguridad .,be there any tutorial first on how to edit . i swear it will really help a lot .,hey dear <app> i have <user> channel on <app> for edit tutorial for <app> so i face some problem in blend can u add some more bland mod in your app .,in my opinion this be the best app in <app> market for edit but you should know how to edit for that i demand an guid .,,,,
